Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Macruronus,magellanicus,-34.25,-52.25,5305:142:1,0.13
Macruronus,magellanicus,-34.25,-52.75,5305:142:2,0.1
Macruronus,magellanicus,-34.75,-52.25,5305:142:3,0.09
Macruronus,magellanicus,-34.75,-52.75,5305:142:4,0.15
Macruronus,magellanicus,-34.25,-53.25,5305:143:1,0.05
Macruronus,magellanicus,-34.25,-53.75,5305:143:2,0.06
Macruronus,magellanicus,-34.75,-53.25,5305:143:3,0.08
Macruronus,magellanicus,-34.75,-53.75,5305:143:4,0.04
Macruronus,magellanicus,-35.25,-52.75,5305:352:2,0.18
Macruronus,magellanicus,-35.75,-52.75,5305:352:4,0.13
Macruronus,magellanicus,-35.25,-53.25,5305:353:1,0.16
Macruronus,magellanicus,-35.25,-53.75,5305:353:2,0.09
Macruronus,magellanicus,-35.75,-53.75,5305:353:4,0.18
Macruronus,magellanicus,-35.25,-54.25,5305:354:1,0.01
Macruronus,magellanicus,-35.75,-54.25,5305:354:3,0.08
Macruronus,magellanicus,-35.75,-54.75,5305:354:4,0.01
Macruronus,magellanicus,-36.25,-54.75,5305:364:2,0.07
Macruronus,magellanicus,-37.25,-55.75,5305:475:2,0.04
Macruronus,magellanicus,-37.75,-56.75,5305:476:4,0.09
Macruronus,magellanicus,-37.75,-57.25,5305:477:3,0.19
Macruronus,magellanicus,-38.75,-60.25,5306:380:3,0.16
Macruronus,magellanicus,-38.75,-60.75,5306:380:4,0.04
Macruronus,magellanicus,-38.75,-61.75,5306:381:4,0.03
Macruronus,magellanicus,-38.75,-62.25,5306:382:3,0.14
Macruronus,magellanicus,-39.25,-60.75,5306:390:2,0.03
Macruronus,magellanicus,-39.75,-60.75,5306:390:4,0.06
Macruronus,magellanicus,-39.25,-61.25,5306:391:1,0.05
Macruronus,magellanicus,-39.25,-61.75,5306:391:2,0.08
Macruronus,magellanicus,-39.25,-62.25,5306:392:1,0.11
Macruronus,magellanicus,-39.75,-62.25,5306:392:3,0.09
Macruronus,magellanicus,-35.75,-72.75,5307:352:4,0.18
Macruronus,magellanicus,-36.25,-72.75,5307:362:2,0.15
Macruronus,magellanicus,-36.75,-72.75,5307:362:4,0.18
Macruronus,magellanicus,-37.25,-73.25,5307:373:1,0.13
Macruronus,magellanicus,-39.75,-73.25,5307:393:3,0.16
Macruronus,magellanicus,-48.75,-57.25,5405:487:3,0.14
Macruronus,magellanicus,-48.75,-58.75,5405:488:4,0.11
Macruronus,magellanicus,-48.25,-59.75,5405:489:2,0.13
Macruronus,magellanicus,-48.75,-59.25,5405:489:3,0.08
Macruronus,magellanicus,-49.75,-56.25,5405:496:3,0.18
Macruronus,magellanicus,-40.25,-60.75,5406:100:2,0.08
Macruronus,magellanicus,-40.75,-60.75,5406:100:4,0.19
Macruronus,magellanicus,-40.25,-61.25,5406:101:1,0.01
Macruronus,magellanicus,-40.75,-61.25,5406:101:3,0.04
Macruronus,magellanicus,-40.75,-61.75,5406:101:4,0.02
Macruronus,magellanicus,-40.25,-62.25,5406:102:1,0.05
Macruronus,magellanicus,-40.75,-62.25,5406:102:3,0.06
Macruronus,magellanicus,-40.75,-62.75,5406:102:4,0.09
Macruronus,magellanicus,-40.75,-64.25,5406:104:3,0.04
Macruronus,magellanicus,-40.75,-64.75,5406:104:4,0.13
Macruronus,magellanicus,-41.25,-61.25,5406:111:1,0.13
Macruronus,magellanicus,-41.25,-61.75,5406:111:2,0.04
Macruronus,magellanicus,-41.75,-61.75,5406:111:4,0.11
Macruronus,magellanicus,-41.25,-62.25,5406:112:1,0.01
Macruronus,magellanicus,-41.75,-62.25,5406:112:3,0.05
Macruronus,magellanicus,-41.75,-62.75,5406:112:4,0.02
Macruronus,magellanicus,-41.75,-63.25,5406:113:3,0.01
Macruronus,magellanicus,-42.25,-62.75,5406:122:2,0.18
Macruronus,magellanicus,-42.25,-63.25,5406:123:1,0.12
Macruronus,magellanicus,-42.25,-63.75,5406:123:2,0.03
Macruronus,magellanicus,-42.75,-63.75,5406:123:4,0.19
Macruronus,magellanicus,-42.75,-64.25,5406:124:3,0.09
Macruronus,magellanicus,-42.75,-64.75,5406:124:4,0.06
Macruronus,magellanicus,-42.25,-65.25,5406:225:1,0.02
Macruronus,magellanicus,-49.75,-68.75,5406:498:4,0.17
Macruronus,magellanicus,-42.75,-73.25,5407:123:3,0.18
Macruronus,magellanicus,-43.25,-72.75,5407:132:2,0.16
Macruronus,magellanicus,-43.75,-72.75,5407:132:4,0.09
Macruronus,magellanicus,-47.25,-74.25,5407:374:1,0.12
Macruronus,magellanicus,-45.25,-75.75,5407:455:2,0.04
Macruronus,magellanicus,-47.75,-76.25,5407:476:3,0.13
Macruronus,magellanicus,-50.75,-56.25,5505:206:3,0.18
Macruronus,magellanicus,-52.25,-56.75,5505:226:2,0.16
Macruronus,magellanicus,-53.25,-58.25,5505:238:1,0.05
Macruronus,magellanicus,-54.75,-55.25,5505:245:3,0.08
Macruronus,magellanicus,-54.75,-62.75,5506:142:4,0.12
Macruronus,magellanicus,-54.75,-67.25,5506:247:3,0.11
Macruronus,magellanicus,-35.75,-53.25,5305:353:3,0.22
