Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Thyrsites,atun,-54.25,-70.25,5507:140:1,0.11
Thyrsites,atun,-52.25,-74.25,5507:124:1,0.02
Thyrsites,atun,-52.75,-73.25,5507:123:3,0.06
Thyrsites,atun,-52.25,-73.75,5507:123:2,0.15
Thyrsites,atun,-52.25,-73.25,5507:123:1,0.11
Thyrsites,atun,-52.75,-72.75,5507:122:4,0.19
Thyrsites,atun,-52.75,-72.25,5507:122:3,0.19
Thyrsites,atun,-52.75,-71.75,5507:121:4,0.19
Thyrsites,atun,-51.75,-74.25,5507:114:3,0.16
Thyrsites,atun,-51.75,-72.25,5507:112:3,0.07
Thyrsites,atun,-50.75,-74.25,5507:104:3,0.01
Thyrsites,atun,-55.25,-69.25,5506:459:1,0.16
Thyrsites,atun,-55.25,-68.75,5506:458:2,0.13
Thyrsites,atun,-55.75,-66.25,5506:456:3,0.17
Thyrsites,atun,-55.25,-65.25,5506:455:1,0.14
Thyrsites,atun,-54.75,-69.75,5506:249:4,0.17
Thyrsites,atun,-54.75,-69.25,5506:249:3,0.14
Thyrsites,atun,-54.25,-69.75,5506:249:2,0.18
Thyrsites,atun,-54.25,-69.25,5506:249:1,0.19
Thyrsites,atun,-54.75,-67.25,5506:247:3,0.08
Thyrsites,atun,-54.25,-67.25,5506:247:1,0.16
Thyrsites,atun,-54.75,-66.25,5506:246:3,0.1
Thyrsites,atun,-54.25,-66.75,5506:246:2,0.12
Thyrsites,atun,-54.25,-66.25,5506:246:1,0.18
Thyrsites,atun,-53.75,-69.25,5506:239:3,0.02
Thyrsites,atun,-53.25,-69.25,5506:239:1,0.19
Thyrsites,atun,-53.25,-68.75,5506:238:2,0.13
Thyrsites,atun,-53.25,-68.25,5506:238:1,0.17
Thyrsites,atun,-53.75,-67.75,5506:237:4,0.16
Thyrsites,atun,-53.75,-67.25,5506:237:3,0.18
Thyrsites,atun,-53.25,-67.75,5506:237:2,0.15
Thyrsites,atun,-52.25,-69.75,5506:229:2,0.15
Thyrsites,atun,-52.75,-68.75,5506:228:4,0.19
Thyrsites,atun,-52.25,-68.75,5506:228:2,0.17
Thyrsites,atun,-51.75,-69.25,5506:219:3,0.01
Thyrsites,atun,-50.25,-69.25,5506:209:1,0.02
Thyrsites,atun,-54.75,-63.75,5506:143:4,0.18
Thyrsites,atun,-54.75,-63.25,5506:143:3,0.11
Thyrsites,atun,-54.25,-63.75,5506:143:2,0.19
Thyrsites,atun,-54.25,-63.25,5506:143:1,0.13
Thyrsites,atun,-54.75,-62.75,5506:142:4,0.05
Thyrsites,atun,-54.75,-62.25,5506:142:3,0.03
Thyrsites,atun,-54.25,-62.75,5506:142:2,0.08
Thyrsites,atun,-54.25,-62.25,5506:142:1,0.06
Thyrsites,atun,-54.75,-61.75,5506:141:4,0.02
Thyrsites,atun,-54.75,-61.25,5506:141:3,0.01
Thyrsites,atun,-54.25,-61.75,5506:141:2,0.06
Thyrsites,atun,-54.25,-61.25,5506:141:1,0.05
Thyrsites,atun,-54.75,-60.75,5506:140:4,0.02
Thyrsites,atun,-54.75,-60.25,5506:140:3,0.02
Thyrsites,atun,-54.25,-60.75,5506:140:2,0.05
Thyrsites,atun,-54.25,-60.25,5506:140:1,0.04
Thyrsites,atun,-53.75,-64.25,5506:134:3,0.17
Thyrsites,atun,-53.75,-63.75,5506:133:4,0.17
Thyrsites,atun,-53.75,-63.25,5506:133:3,0.12
Thyrsites,atun,-53.25,-63.75,5506:133:2,0.18
Thyrsites,atun,-53.25,-63.25,5506:133:1,0.16
Thyrsites,atun,-53.75,-62.75,5506:132:4,0.1
Thyrsites,atun,-53.75,-62.25,5506:132:3,0.09
Thyrsites,atun,-53.25,-62.75,5506:132:2,0.15
Thyrsites,atun,-53.25,-62.25,5506:132:1,0.14
Thyrsites,atun,-53.75,-61.75,5506:131:4,0.08
Thyrsites,atun,-53.75,-61.25,5506:131:3,0.08
Thyrsites,atun,-53.25,-61.75,5506:131:2,0.13
Thyrsites,atun,-53.25,-61.25,5506:131:1,0.13
Thyrsites,atun,-53.75,-60.75,5506:130:4,0.07
Thyrsites,atun,-53.75,-60.25,5506:130:3,0.07
Thyrsites,atun,-53.25,-60.75,5506:130:2,0.14
Thyrsites,atun,-53.25,-60.25,5506:130:1,0.14
Thyrsites,atun,-52.75,-62.25,5506:122:3,0.19
Thyrsites,atun,-52.75,-61.75,5506:121:4,0.19
Thyrsites,atun,-52.75,-61.25,5506:121:3,0.19
Thyrsites,atun,-51.75,-60.25,5506:110:3,0.17
Thyrsites,atun,-51.25,-60.25,5506:110:1,0.14
Thyrsites,atun,-54.75,-59.75,5505:249:4,0.02
Thyrsites,atun,-54.75,-59.25,5505:249:3,0.02
Thyrsites,atun,-54.25,-59.75,5505:249:2,0.03
Thyrsites,atun,-54.25,-59.25,5505:249:1,0.03
Thyrsites,atun,-54.75,-58.75,5505:248:4,0.02
Thyrsites,atun,-54.75,-58.25,5505:248:3,0.02
Thyrsites,atun,-54.25,-58.75,5505:248:2,0.03
Thyrsites,atun,-54.25,-58.25,5505:248:1,0.03
Thyrsites,atun,-54.75,-57.75,5505:247:4,0.02
Thyrsites,atun,-54.75,-57.25,5505:247:3,0.01
Thyrsites,atun,-54.25,-57.75,5505:247:2,0.02
Thyrsites,atun,-54.25,-57.25,5505:247:1,0.02
Thyrsites,atun,-54.75,-56.75,5505:246:4,0.01
Thyrsites,atun,-54.25,-56.75,5505:246:2,0.01
Thyrsites,atun,-54.25,-56.25,5505:246:1,0.01
Thyrsites,atun,-53.75,-59.75,5505:239:4,0.07
Thyrsites,atun,-53.75,-59.25,5505:239:3,0.06
Thyrsites,atun,-53.25,-59.75,5505:239:2,0.14
Thyrsites,atun,-53.25,-59.25,5505:239:1,0.13
Thyrsites,atun,-53.75,-58.75,5505:238:4,0.05
Thyrsites,atun,-53.75,-58.25,5505:238:3,0.04
Thyrsites,atun,-53.25,-58.75,5505:238:2,0.11
Thyrsites,atun,-53.25,-58.25,5505:238:1,0.09
Thyrsites,atun,-53.75,-57.75,5505:237:4,0.04
Thyrsites,atun,-52.75,-58.75,5505:228:4,0.19
Thyrsites,atun,-52.75,-58.25,5505:228:3,0.17
Thyrsites,atun,-52.75,-57.75,5505:227:4,0.14
Thyrsites,atun,-52.75,-57.25,5505:227:3,0.1
Thyrsites,atun,-52.25,-57.75,5505:227:2,0.19
Thyrsites,atun,-52.25,-57.25,5505:227:1,0.15
