Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Larimichthys,polyactis,23.25,119.25,1211:239:1,0.16
Larimichthys,polyactis,23.75,119.75,1211:239:4,0.02
Larimichthys,polyactis,24.25,120.75,1212:140:2,0.14
Larimichthys,polyactis,26.75,123.75,1212:363:4,0.16
Larimichthys,polyactis,29.25,122.25,1212:392:1,0.18
Larimichthys,polyactis,26.75,127.25,1212:467:3,0.01
Larimichthys,polyactis,29.25,127.25,1212:497:1,0.07
Larimichthys,polyactis,30.75,121.25,1312:101:3,0.12
Larimichthys,polyactis,30.75,121.75,1312:101:4,0.08
Larimichthys,polyactis,31.25,122.25,1312:112:1,0.05
Larimichthys,polyactis,32.25,121.25,1312:121:1,0.04
Larimichthys,polyactis,32.25,121.75,1312:121:2,0.11
Larimichthys,polyactis,33.75,120.25,1312:130:3,0.08
Larimichthys,polyactis,30.25,127.75,1312:207:2,0.08
Larimichthys,polyactis,31.75,127.75,1312:217:4,0.17
Larimichthys,polyactis,32.25,127.25,1312:227:1,0.18
Larimichthys,polyactis,33.25,128.25,1312:238:1,0.02
Larimichthys,polyactis,35.75,121.75,1312:351:4,0.13
Larimichthys,polyactis,37.25,123.25,1312:373:1,0.12
Larimichthys,polyactis,37.75,123.25,1312:373:3,0.19
Larimichthys,polyactis,38.75,122.25,1312:382:3,0.09
Larimichthys,polyactis,38.25,123.75,1312:383:2,0.09
Larimichthys,polyactis,32.25,132.25,1313:122:1,0.08
Larimichthys,polyactis,38.75,138.25,1313:488:3,0.09
Larimichthys,polyactis,22.75,118.25,1211:228:3,0.29
Larimichthys,polyactis,25.25,118.75,1211:458:2,0.27
Larimichthys,polyactis,25.75,122.25,1212:352:3,0.24
Larimichthys,polyactis,29.25,126.75,1212:496:2,0.37
Larimichthys,polyactis,29.25,129.75,1212:499:2,0.34
Larimichthys,polyactis,29.75,129.75,1212:499:4,0.3
Larimichthys,polyactis,30.25,120.75,1312:100:2,0.23
Larimichthys,polyactis,30.25,121.25,1312:101:1,0.38
Larimichthys,polyactis,31.75,120.75,1312:110:4,0.24
Larimichthys,polyactis,31.75,122.25,1312:112:3,0.22
Larimichthys,polyactis,32.25,120.75,1312:120:2,0.35
Larimichthys,polyactis,31.25,127.75,1312:217:2,0.28
Larimichthys,polyactis,32.75,127.25,1312:227:3,0.29
Larimichthys,polyactis,32.25,128.75,1312:228:2,0.36
Larimichthys,polyactis,33.75,128.75,1312:238:4,0.38
Larimichthys,polyactis,36.25,123.75,1312:363:2,0.24
Larimichthys,polyactis,36.75,123.25,1312:363:3,0.3
Larimichthys,polyactis,37.75,122.75,1312:372:4,0.22
Larimichthys,polyactis,37.75,123.75,1312:373:4,0.25
Larimichthys,polyactis,37.25,124.25,1312:374:1,0.23
Larimichthys,polyactis,34.75,130.25,1313:140:3,0.32
Larimichthys,polyactis,35.75,130.25,1313:350:3,0.36
Larimichthys,polyactis,37.25,136.25,1313:476:1,0.34
Larimichthys,polyactis,37.75,137.75,1313:477:4,0.32
Larimichthys,polyactis,26.75,124.75,1212:364:4,0.5
Larimichthys,polyactis,26.75,127.75,1212:467:4,0.52
Larimichthys,polyactis,26.75,128.25,1212:468:3,0.44
Larimichthys,polyactis,27.25,127.75,1212:477:2,0.49
Larimichthys,polyactis,27.25,128.75,1212:478:2,0.49
Larimichthys,polyactis,28.75,125.25,1212:485:3,0.58
Larimichthys,polyactis,28.25,126.25,1212:486:1,0.59
Larimichthys,polyactis,28.75,126.75,1212:486:4,0.52
Larimichthys,polyactis,29.25,129.25,1212:499:1,0.42
Larimichthys,polyactis,37.25,119.25,1311:479:1,0.58
Larimichthys,polyactis,30.25,121.75,1312:101:2,0.49
Larimichthys,polyactis,32.75,120.75,1312:120:4,0.58
Larimichthys,polyactis,32.75,121.25,1312:121:3,0.57
Larimichthys,polyactis,34.75,121.25,1312:141:3,0.41
