Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lophius,vomerinus,-34.75,19.75,3301:249:4,0.18
Lophius,vomerinus,-32.25,16.25,3301:226:1,0.06
Lophius,vomerinus,-31.25,15.75,3301:215:2,0.13
Lophius,vomerinus,-26.25,45.25,3204:465:1,0.01
Lophius,vomerinus,-25.25,46.75,3204:456:2,0.06
Lophius,vomerinus,-25.25,46.25,3204:456:1,0.07
Lophius,vomerinus,-25.75,45.75,3204:455:4,0.05
Lophius,vomerinus,-25.75,45.25,3204:455:3,0.02
Lophius,vomerinus,-25.25,45.75,3204:455:2,0.03
Lophius,vomerinus,-25.25,45.25,3204:455:1,0.01
Lophius,vomerinus,-29.25,32.25,3203:392:1,0.13
Lophius,vomerinus,-29.75,31.75,3203:391:4,0.18
Lophius,vomerinus,-28.75,32.75,3203:382:4,0.09
Lophius,vomerinus,-28.75,32.25,3203:382:3,0.18
Lophius,vomerinus,-28.25,32.75,3203:382:2,0.07
Lophius,vomerinus,-28.25,32.25,3203:382:1,0.04
Lophius,vomerinus,-27.75,32.75,3203:372:4,0.06
Lophius,vomerinus,-27.25,32.75,3203:372:2,0.06
Lophius,vomerinus,-26.75,33.25,3203:363:3,0.02
Lophius,vomerinus,-26.25,33.25,3203:363:1,0.06
Lophius,vomerinus,-26.75,32.75,3203:362:4,0.1
Lophius,vomerinus,-26.25,32.75,3203:362:2,0.08
Lophius,vomerinus,-25.25,34.25,3203:354:1,0.04
Lophius,vomerinus,-25.75,33.75,3203:353:4,0.04
Lophius,vomerinus,-25.75,33.25,3203:353:3,0.08
Lophius,vomerinus,-25.25,33.75,3203:353:2,0.08
Lophius,vomerinus,-25.25,33.25,3203:353:1,0.11
Lophius,vomerinus,-25.75,32.75,3203:352:4,0.17
Lophius,vomerinus,-26.75,15.25,3201:465:3,0.09
Lophius,vomerinus,-25.25,14.75,3201:354:2,0.01
Lophius,vomerinus,-23.25,14.25,3201:134:1,0.14
Lophius,vomerinus,-21.75,13.75,3201:113:4,0.14
