Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Macrourus,carinatus,-34.25,18.25,3301:248:1,0.19
Macrourus,carinatus,-38.25,14.75,3301:384:2,0.01
Macrourus,carinatus,-34.25,22.25,3302:142:1,0.17
Macrourus,carinatus,-34.75,22.75,3302:142:4,0.02
Macrourus,carinatus,-34.25,23.25,3302:143:1,0.01
Macrourus,carinatus,-34.25,23.75,3302:143:2,0.01
Macrourus,carinatus,-34.75,23.25,3302:143:3,0.16
Macrourus,carinatus,-34.75,23.75,3302:143:4,0.19
Macrourus,carinatus,-34.25,24.25,3302:144:1,0.02
Macrourus,carinatus,-34.75,24.25,3302:144:3,0.14
Macrourus,carinatus,-34.75,24.75,3302:144:4,0.09
Macrourus,carinatus,-34.25,25.25,3302:245:1,0.04
Macrourus,carinatus,-34.25,25.75,3302:245:2,0.16
Macrourus,carinatus,-34.75,25.25,3302:245:3,0.03
Macrourus,carinatus,-34.25,26.25,3302:246:1,0.06
Macrourus,carinatus,-35.25,20.25,3302:350:1,0.01
Macrourus,carinatus,-35.75,21.75,3302:351:4,0.04
Macrourus,carinatus,-35.25,22.75,3302:352:2,0.14
Macrourus,carinatus,-35.75,22.25,3302:352:3,0.10
Macrourus,carinatus,-35.75,22.75,3302:352:4,0.05
Macrourus,carinatus,-35.25,23.25,3302:353:1,0.10
Macrourus,carinatus,-35.25,23.75,3302:353:2,0.05
Macrourus,carinatus,-36.25,20.75,3302:360:2,0.12
Macrourus,carinatus,-36.25,21.25,3302:361:1,0.01
Macrourus,carinatus,-36.25,21.75,3302:361:2,0.11
Macrourus,carinatus,-36.75,21.25,3302:361:3,0.15
Macrourus,carinatus,-36.75,21.75,3302:361:4,0.08
Macrourus,carinatus,-36.25,22.25,3302:362:1,0.05
Macrourus,carinatus,-36.75,22.25,3302:362:3,0.04
Macrourus,carinatus,-37.25,20.25,3302:370:1,0.04
Macrourus,carinatus,-37.25,20.75,3302:370:2,0.07
Macrourus,carinatus,-34.25,114.25,3311:144:1,0.14
Macrourus,carinatus,-34.25,114.75,3311:144:2,0.13
Macrourus,carinatus,-34.75,114.25,3311:144:3,0.16
Macrourus,carinatus,-34.75,114.75,3311:144:4,0.15
Macrourus,carinatus,-34.75,115.25,3311:245:3,0.15
Macrourus,carinatus,-35.25,114.75,3311:354:2,0.19
Macrourus,carinatus,-35.25,115.25,3311:455:1,0.19
Macrourus,carinatus,-35.25,115.75,3311:455:2,0.17
Macrourus,carinatus,-35.25,116.25,3311:456:1,0.17
Macrourus,carinatus,-35.25,116.75,3311:456:2,0.17
Macrourus,carinatus,-35.25,117.25,3311:457:1,0.18
Macrourus,carinatus,-35.25,117.75,3311:457:2,0.19
Macrourus,carinatus,-35.75,117.25,3311:457:3,0.06
Macrourus,carinatus,-34.25,120.25,3312:140:1,0.19
Macrourus,carinatus,-34.25,121.25,3312:141:1,0.14
Macrourus,carinatus,-34.25,121.75,3312:141:2,0.13
Macrourus,carinatus,-34.25,122.25,3312:142:1,0.11
Macrourus,carinatus,-34.25,123.25,3312:143:1,0.05
Macrourus,carinatus,-34.25,123.75,3312:143:2,0.17
Macrourus,carinatus,-34.75,124.25,3312:144:3,0.09
Macrourus,carinatus,-34.25,130.75,3313:140:2,0.07
Macrourus,carinatus,-34.25,131.25,3313:141:1,0.08
Macrourus,carinatus,-34.25,131.75,3313:141:2,0.18
Macrourus,carinatus,-34.75,131.75,3313:141:4,0.04
Macrourus,carinatus,-34.25,132.75,3313:142:2,0.13
Macrourus,carinatus,-34.25,133.25,3313:143:1,0.08
Macrourus,carinatus,-34.75,133.25,3313:143:3,0.18
Macrourus,carinatus,-34.75,133.75,3313:143:4,0.10
Macrourus,carinatus,-34.75,134.25,3313:144:3,0.04
Macrourus,carinatus,-35.25,132.75,3313:352:2,0.13
Macrourus,carinatus,-35.25,134.75,3313:354:2,0.17
Macrourus,carinatus,-35.75,134.75,3313:354:4,0.05
Macrourus,carinatus,-35.25,135.25,3313:455:1,0.10
Macrourus,carinatus,-35.25,135.75,3313:455:2,0.02
Macrourus,carinatus,-35.75,135.75,3313:455:4,0.18
Macrourus,carinatus,-36.25,136.25,3313:466:1,0.19
