Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lutjanus,peru,27.75,-114.75,7211:374:4,0.06
Lutjanus,peru,27.75,-114.25,7211:374:3,0.13
Lutjanus,peru,27.25,-114.75,7211:374:2,0.08
Lutjanus,peru,27.25,-114.25,7211:374:1,0.16
Lutjanus,peru,27.75,-113.75,7211:373:4,0.07
Lutjanus,peru,26.75,-114.25,7211:364:3,0.1
Lutjanus,peru,26.25,-113.75,7211:363:2,0.11
Lutjanus,peru,26.25,-113.25,7211:363:1,0.07
Lutjanus,peru,24.25,-108.25,7210:248:1,0.16
Lutjanus,peru,7.75,-78.75,7007:478:4,0.14
Lutjanus,peru,3.75,-77.75,7007:237:4,0.04
Lutjanus,peru,-11.75,-77.75,5107:217:4,0.02
Lutjanus,peru,-11.25,-77.75,5107:217:2,0.01
Lutjanus,peru,-11.25,-77.25,5107:217:1,0.01
Lutjanus,peru,-10.25,-78.25,5107:208:1,0.04
Lutjanus,peru,-10.75,-77.75,5107:207:4,0.01
Lutjanus,peru,-10.25,-77.75,5107:207:2,0.02
Lutjanus,peru,-7.25,-80.25,5008:370:1,0.13
Lutjanus,peru,-6.25,-81.25,5008:361:1,0.06
Lutjanus,peru,-6.75,-80.75,5008:360:4,0.09
Lutjanus,peru,-6.75,-80.25,5008:360:3,0.01
Lutjanus,peru,-6.25,-80.25,5008:360:1,0.05
Lutjanus,peru,-5.75,-81.25,5008:351:3,0.16
Lutjanus,peru,-5.25,-81.25,5008:351:1,0.18
Lutjanus,peru,-5.75,-80.75,5008:350:4,0.07
Lutjanus,peru,-5.25,-80.75,5008:350:2,0.14
Lutjanus,peru,-2.25,-80.25,5008:120:1,0.12
Lutjanus,peru,-9.75,-78.75,5007:498:4,0.03
Lutjanus,peru,-9.75,-78.25,5007:498:3,0.03
Lutjanus,peru,-9.25,-78.75,5007:498:2,0.04
Lutjanus,peru,-9.25,-78.25,5007:498:1,0.05
Lutjanus,peru,-8.25,-79.25,5007:489:1,0.02
Lutjanus,peru,-8.75,-78.75,5007:488:4,0.05
Lutjanus,peru,-8.25,-78.75,5007:488:2,0.07
Lutjanus,peru,-7.75,-79.75,5007:479:4,0.06
Lutjanus,peru,-7.75,-79.25,5007:479:3,0.07
Lutjanus,peru,-7.25,-79.75,5007:479:2,0.02
Lutjanus,peru,-6.75,-79.75,5007:469:4,0.08
Lutjanus,peru,27.25,-113.75,7211:373:2,0.25
Lutjanus,peru,26.75,-113.75,7211:363:4,0.22
Lutjanus,peru,26.75,-113.25,7211:363:3,0.29
Lutjanus,peru,25.25,-112.75,7211:352:2,0.22
Lutjanus,peru,25.75,-108.75,7210:458:4,0.25
Lutjanus,peru,18.25,-114.75,7111:384:2,0.26
Lutjanus,peru,2.25,-78.75,7007:228:2,0.3
Lutjanus,peru,-7.75,-80.25,5008:370:3,0.26
Lutjanus,peru,-7.25,-80.75,5008:370:2,0.25
Lutjanus,peru,-4.75,-81.25,5008:141:3,0.26
Lutjanus,peru,-3.25,-80.25,5008:130:1,0.24
Lutjanus,peru,-2.75,-80.25,5008:120:3,0.35
Lutjanus,peru,-8.75,-79.75,5007:489:4,0.28
Lutjanus,peru,-3.25,-79.75,5007:239:2,0.39
Lutjanus,peru,26.75,-112.75,7211:362:4,0.56
Lutjanus,peru,26.25,-112.75,7211:362:2,0.41
Lutjanus,peru,25.75,-112.75,7211:352:4,0.46
Lutjanus,peru,25.75,-112.25,7211:352:3,0.51
Lutjanus,peru,25.25,-112.25,7211:352:1,0.53
Lutjanus,peru,24.75,-112.25,7211:142:3,0.57
Lutjanus,peru,14.75,-93.25,7109:143:3,0.42
Lutjanus,peru,4.25,-77.25,7007:247:1,0.53
Lutjanus,peru,3.75,-77.25,7007:237:3,0.44
Lutjanus,peru,2.75,-78.25,7007:228:3,0.48
Lutjanus,peru,-0.25,-91.75,5009:101:2,0.57
Lutjanus,peru,-4.25,-81.25,5008:141:1,0.47
Lutjanus,peru,-3.75,-80.75,5008:130:4,0.45
Lutjanus,peru,-2.75,-80.75,5008:120:4,0.49
Lutjanus,peru,-2.75,-79.75,5007:229:4,0.44
Lutjanus,peru,27.75,-112.75,7211:372:4,0.72
Lutjanus,peru,26.25,-112.25,7211:362:1,0.65
Lutjanus,peru,24.75,-111.75,7211:141:4,0.73
Lutjanus,peru,24.25,-111.75,7211:141:2,0.68
Lutjanus,peru,24.25,-111.25,7211:141:1,0.73
Lutjanus,peru,19.25,-105.25,7110:495:1,0.63
Lutjanus,peru,14.25,-91.25,7109:141:1,0.7
Lutjanus,peru,13.75,-90.25,7109:130:3,0.7
Lutjanus,peru,10.75,-85.75,7108:205:4,0.66
Lutjanus,peru,5.25,-87.25,7008:457:1,0.79
Lutjanus,peru,9.25,-84.75,7008:394:2,0.68
Lutjanus,peru,8.75,-78.75,7007:488:4,0.78
Lutjanus,peru,8.25,-78.25,7007:488:1,0.79
Lutjanus,peru,7.75,-78.25,7007:478:3,0.73
Lutjanus,peru,7.25,-78.25,7007:478:1,0.75
Lutjanus,peru,7.25,-77.75,7007:477:2,0.62
Lutjanus,peru,6.75,-77.75,7007:467:4,0.62
Lutjanus,peru,6.75,-77.25,7007:467:3,0.71
Lutjanus,peru,6.25,-77.25,7007:467:1,0.71
Lutjanus,peru,5.75,-77.25,7007:457:3,0.69
Lutjanus,peru,5.25,-77.25,7007:457:1,0.65
Lutjanus,peru,4.75,-77.25,7007:247:3,0.6
Lutjanus,peru,3.25,-77.75,7007:237:2,0.61
Lutjanus,peru,3.25,-77.25,7007:237:1,0.6
Lutjanus,peru,2.75,-77.75,7007:227:4,0.65
Lutjanus,peru,-3.25,-80.75,5008:130:2,0.6
Lutjanus,peru,-2.25,-81.25,5008:121:1,0.76
Lutjanus,peru,-2.25,-80.75,5008:120:2,0.62
Lutjanus,peru,-1.75,-80.75,5008:110:4,0.75
Lutjanus,peru,27.75,-112.25,7211:372:3,0.92
Lutjanus,peru,27.25,-112.25,7211:372:1,0.95
Lutjanus,peru,27.75,-111.25,7211:371:3,1
Lutjanus,peru,27.25,-111.75,7211:371:2,0.89
Lutjanus,peru,27.75,-110.75,7211:370:4,1
Lutjanus,peru,27.25,-110.75,7211:370:2,1
Lutjanus,peru,27.25,-110.25,7211:370:1,1
Lutjanus,peru,26.75,-111.75,7211:361:4,0.97
Lutjanus,peru,26.75,-111.25,7211:361:3,0.81
Lutjanus,peru,26.25,-111.25,7211:361:1,0.91
Lutjanus,peru,26.75,-110.25,7211:360:3,1
Lutjanus,peru,25.75,-111.25,7211:351:3,1
Lutjanus,peru,25.75,-110.75,7211:350:4,1
Lutjanus,peru,25.25,-110.75,7211:350:2,1
Lutjanus,peru,24.75,-110.75,7211:140:4,1
Lutjanus,peru,24.75,-110.25,7211:140:3,1
Lutjanus,peru,24.25,-110.75,7211:140:2,0.98
Lutjanus,peru,24.25,-110.25,7211:140:1,1
Lutjanus,peru,23.75,-110.75,7211:130:4,0.87
Lutjanus,peru,23.75,-110.25,7211:130:3,1
Lutjanus,peru,23.25,-110.25,7211:130:1,1
Lutjanus,peru,22.75,-110.25,7211:120:3,0.84
Lutjanus,peru,27.25,-109.75,7210:479:2,1
Lutjanus,peru,26.75,-109.75,7210:469:4,1
Lutjanus,peru,26.75,-109.25,7210:469:3,1
Lutjanus,peru,26.25,-109.75,7210:469:2,1
Lutjanus,peru,26.25,-109.25,7210:469:1,1
Lutjanus,peru,25.75,-109.25,7210:459:3,1
Lutjanus,peru,25.25,-109.25,7210:459:1,1
Lutjanus,peru,25.25,-108.75,7210:458:2,1
Lutjanus,peru,25.25,-108.25,7210:458:1,1
Lutjanus,peru,24.25,-109.75,7210:249:2,1
Lutjanus,peru,24.75,-108.25,7210:248:3,1
Lutjanus,peru,24.75,-107.75,7210:247:4,1
Lutjanus,peru,24.25,-107.75,7210:247:2,1
