Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Polydactylus,quadrifilis,2.25,9.75,1000:229:2,0.17
Polydactylus,quadrifilis,2.75,9.75,1000:229:4,0.16
Polydactylus,quadrifilis,3.75,6.75,1000:236:4,0.08
Polydactylus,quadrifilis,3.25,9.25,1000:239:1,0.19
Polydactylus,quadrifilis,3.75,9.25,1000:239:3,0.18
Polydactylus,quadrifilis,3.75,9.75,1000:239:4,0.17
Polydactylus,quadrifilis,4.25,7.75,1000:247:2,0.13
Polydactylus,quadrifilis,4.25,8.75,1000:248:2,0.18
Polydactylus,quadrifilis,4.25,-1.25,7000:141:1,0.05
Polydactylus,quadrifilis,4.25,-2.25,7000:142:1,0.1
Polydactylus,quadrifilis,7.75,-14.25,7001:374:3,0.17
Polydactylus,quadrifilis,8.75,-14.75,7001:384:4,0.09
Polydactylus,quadrifilis,9.75,-16.75,7001:496:4,0.02
Polydactylus,quadrifilis,14.75,-17.75,7101:247:4,0.17
Polydactylus,quadrifilis,15.75,-16.25,7101:456:3,0.1
Polydactylus,quadrifilis,17.25,-16.25,7101:476:1,0.13
Polydactylus,quadrifilis,17.75,-16.25,7101:476:3,0.09
Polydactylus,quadrifilis,18.25,-16.25,7101:486:1,0.03
Polydactylus,quadrifilis,18.75,-16.75,7101:486:4,0.06
Polydactylus,quadrifilis,19.25,-16.25,7101:496:1,0.03
Polydactylus,quadrifilis,19.25,-16.75,7101:496:2,0.03
Polydactylus,quadrifilis,19.75,-16.25,7101:496:3,0.13
Polydactylus,quadrifilis,19.75,-16.75,7101:496:4,0.15
Polydactylus,quadrifilis,16.75,-22.75,7102:362:4,0.17
Polydactylus,quadrifilis,16.75,-23.75,7102:363:4,0.08
Polydactylus,quadrifilis,16.75,-24.25,7102:364:3,0.04
Polydactylus,quadrifilis,20.75,-16.25,7201:206:3,0.12
Polydactylus,quadrifilis,4.75,4.75,1000:144:4,0.35
Polydactylus,quadrifilis,1.25,7.25,1000:217:1,0.34
Polydactylus,quadrifilis,1.75,7.25,1000:217:3,0.34
Polydactylus,quadrifilis,1.75,7.75,1000:217:4,0.24
Polydactylus,quadrifilis,3.75,8.75,1000:238:4,0.32
Polydactylus,quadrifilis,4.25,9.25,1000:249:1,0.33
Polydactylus,quadrifilis,8.25,-14.25,7001:384:1,0.23
Polydactylus,quadrifilis,8.75,-14.25,7001:384:3,0.34
Polydactylus,quadrifilis,9.25,-14.75,7001:394:2,0.27
Polydactylus,quadrifilis,9.25,-15.25,7001:495:1,0.26
Polydactylus,quadrifilis,9.25,-15.75,7001:495:2,0.25
Polydactylus,quadrifilis,15.75,-16.75,7101:456:4,0.39
Polydactylus,quadrifilis,16.25,-16.25,7101:466:1,0.31
Polydactylus,quadrifilis,16.25,-16.75,7101:466:2,0.31
Polydactylus,quadrifilis,16.75,-16.25,7101:466:3,0.21
Polydactylus,quadrifilis,16.75,-16.75,7101:466:4,0.29
Polydactylus,quadrifilis,17.25,-16.75,7101:476:2,0.28
Polydactylus,quadrifilis,14.75,-24.25,7102:144:3,0.3
Polydactylus,quadrifilis,14.75,-24.75,7102:144:4,0.2
Polydactylus,quadrifilis,15.25,-23.75,7102:353:2,0.33
Polydactylus,quadrifilis,15.25,-24.25,7102:354:1,0.2
Polydactylus,quadrifilis,16.25,-22.75,7102:362:2,0.31
Polydactylus,quadrifilis,20.25,-16.25,7201:206:1,0.25
Polydactylus,quadrifilis,0.25,6.75,1000:206:2,0.51
Polydactylus,quadrifilis,1.75,9.75,1000:219:4,0.49
Polydactylus,quadrifilis,3.75,5.75,1000:235:4,0.54
Polydactylus,quadrifilis,4.75,8.25,1000:248:3,0.48
Polydactylus,quadrifilis,4.75,8.75,1000:248:4,0.47
Polydactylus,quadrifilis,-4.25,10.75,3001:140:2,0.58
Polydactylus,quadrifilis,-4.75,11.75,3001:141:4,0.56
Polydactylus,quadrifilis,5.25,-2.75,7000:352:2,0.5
Polydactylus,quadrifilis,7.25,-13.25,7001:373:1,0.51
Polydactylus,quadrifilis,7.75,-13.75,7001:373:4,0.49
Polydactylus,quadrifilis,9.75,-15.25,7001:495:3,0.53
Polydactylus,quadrifilis,9.75,-15.75,7001:495:4,0.53
Polydactylus,quadrifilis,9.75,-16.25,7001:496:3,0.46
Polydactylus,quadrifilis,15.25,-16.75,7101:456:2,0.52
Polydactylus,quadrifilis,15.25,-17.25,7101:457:1,0.55
Polydactylus,quadrifilis,14.75,-23.25,7102:143:3,0.49
Polydactylus,quadrifilis,14.75,-23.75,7102:143:4,0.42
Polydactylus,quadrifilis,15.75,-22.75,7102:352:4,0.57
Polydactylus,quadrifilis,15.25,-23.25,7102:353:1,0.47
Polydactylus,quadrifilis,15.75,-23.25,7102:353:3,0.43
Polydactylus,quadrifilis,0.75,9.25,1000:209:3,0.76
Polydactylus,quadrifilis,1.25,9.25,1000:219:1,0.68
Polydactylus,quadrifilis,3.75,6.25,1000:236:3,0.65
Polydactylus,quadrifilis,4.75,7.75,1000:247:4,0.76
Polydactylus,quadrifilis,-4.25,11.75,3001:141:2,0.73
Polydactylus,quadrifilis,4.25,-6.75,7000:246:2,0.74
Polydactylus,quadrifilis,4.75,-6.25,7000:246:3,0.78
Polydactylus,quadrifilis,8.25,-13.75,7001:383:2,0.64
Polydactylus,quadrifilis,9.25,-14.25,7001:394:1,0.76
Polydactylus,quadrifilis,9.75,-14.75,7001:394:4,0.78
Polydactylus,quadrifilis,13.75,-17.25,7101:237:3,0.77
Polydactylus,quadrifilis,14.25,-17.25,7101:247:1,0.64
Polydactylus,quadrifilis,14.75,-17.25,7101:247:3,0.62
Polydactylus,quadrifilis,0.25,9.25,1000:209:1,1
Polydactylus,quadrifilis,0.25,9.75,1000:209:2,1
Polydactylus,quadrifilis,0.75,9.75,1000:209:4,1
Polydactylus,quadrifilis,1.25,9.75,1000:219:2,0.83
Polydactylus,quadrifilis,4.25,5.25,1000:245:1,0.97
Polydactylus,quadrifilis,4.25,5.75,1000:245:2,0.98
Polydactylus,quadrifilis,4.75,5.25,1000:245:3,0.96
Polydactylus,quadrifilis,4.75,5.75,1000:245:4,0.99
Polydactylus,quadrifilis,4.25,6.25,1000:246:1,0.99
Polydactylus,quadrifilis,4.25,6.75,1000:246:2,1
Polydactylus,quadrifilis,4.25,7.25,1000:247:1,0.95
Polydactylus,quadrifilis,5.75,0.25,1000:350:3,1
Polydactylus,quadrifilis,5.75,0.75,1000:350:4,1
Polydactylus,quadrifilis,5.75,1.25,1000:351:3,1
Polydactylus,quadrifilis,5.25,4.75,1000:354:2,0.96
Polydactylus,quadrifilis,5.75,4.75,1000:354:4,0.97
Polydactylus,quadrifilis,6.25,1.25,1000:361:1,1
Polydactylus,quadrifilis,6.25,1.75,1000:361:2,1
Polydactylus,quadrifilis,6.25,2.25,1000:362:1,1
Polydactylus,quadrifilis,6.25,2.75,1000:362:2,1
Polydactylus,quadrifilis,6.25,3.25,1000:363:1,1
Polydactylus,quadrifilis,6.25,3.75,1000:363:2,0.98
Polydactylus,quadrifilis,6.25,4.25,1000:364:1,0.97
Polydactylus,quadrifilis,6.25,4.75,1000:364:2,0.99
Polydactylus,quadrifilis,5.25,5.25,1000:455:1,0.98
Polydactylus,quadrifilis,5.75,5.25,1000:455:3,1
Polydactylus,quadrifilis,-0.25,8.75,3000:208:2,1
Polydactylus,quadrifilis,-0.75,8.75,3000:208:4,1
Polydactylus,quadrifilis,-0.25,9.25,3000:209:1,1
Polydactylus,quadrifilis,-1.25,5.75,3000:215:2,1
Polydactylus,quadrifilis,-1.25,8.75,3000:218:2,1
Polydactylus,quadrifilis,-1.25,9.25,3000:219:1,1
Polydactylus,quadrifilis,-1.75,9.25,3000:219:3,1
Polydactylus,quadrifilis,-2.25,9.25,3000:229:1,1
Polydactylus,quadrifilis,-2.25,9.75,3000:229:2,1
Polydactylus,quadrifilis,-2.75,9.25,3000:229:3,1
Polydactylus,quadrifilis,-2.75,9.75,3000:229:4,1
Polydactylus,quadrifilis,-3.25,9.75,3000:239:2,1
Polydactylus,quadrifilis,-2.75,10.25,3001:120:3,1
Polydactylus,quadrifilis,-3.25,10.25,3001:130:1,1
Polydactylus,quadrifilis,-3.25,10.75,3001:130:2,1
Polydactylus,quadrifilis,-3.75,10.75,3001:130:4,1
Polydactylus,quadrifilis,-3.75,11.25,3001:131:3,1
Polydactylus,quadrifilis,-4.25,11.25,3001:141:1,1
Polydactylus,quadrifilis,4.75,-0.75,7000:140:4,0.97
Polydactylus,quadrifilis,4.25,-1.75,7000:141:2,0.98
Polydactylus,quadrifilis,4.75,-1.25,7000:141:3,0.97
Polydactylus,quadrifilis,4.75,-1.75,7000:141:4,0.98
Polydactylus,quadrifilis,4.75,-2.25,7000:142:3,1
Polydactylus,quadrifilis,4.75,-2.75,7000:142:4,1
Polydactylus,quadrifilis,4.75,-3.25,7000:143:3,1
Polydactylus,quadrifilis,4.75,-5.25,7000:245:3,1
Polydactylus,quadrifilis,4.75,-5.75,7000:245:4,0.9
Polydactylus,quadrifilis,4.75,-6.75,7000:246:4,0.86
Polydactylus,quadrifilis,4.25,-7.25,7000:247:1,1
Polydactylus,quadrifilis,4.25,-7.75,7000:247:2,1
Polydactylus,quadrifilis,4.75,-7.75,7000:247:4,1
Polydactylus,quadrifilis,4.25,-8.25,7000:248:1,1
Polydactylus,quadrifilis,4.75,-8.25,7000:248:3,1
Polydactylus,quadrifilis,4.75,-8.75,7000:248:4,1
Polydactylus,quadrifilis,4.75,-9.25,7000:249:3,0.99
Polydactylus,quadrifilis,5.25,-0.25,7000:350:1,0.98
Polydactylus,quadrifilis,5.25,-0.75,7000:350:2,0.99
Polydactylus,quadrifilis,5.75,-0.25,7000:350:3,1
Polydactylus,quadrifilis,5.25,-1.25,7000:351:1,1
Polydactylus,quadrifilis,5.25,-1.75,7000:351:2,1
Polydactylus,quadrifilis,5.25,-3.25,7000:353:1,1
Polydactylus,quadrifilis,5.25,-3.75,7000:353:2,1
Polydactylus,quadrifilis,5.25,-4.25,7000:354:1,0.9
Polydactylus,quadrifilis,5.25,-4.75,7000:354:2,0.92
Polydactylus,quadrifilis,5.25,-5.25,7000:455:1,0.93
Polydactylus,quadrifilis,5.25,-9.25,7000:459:1,1
Polydactylus,quadrifilis,5.25,-9.75,7000:459:2,1
Polydactylus,quadrifilis,5.75,-9.75,7000:459:4,1
Polydactylus,quadrifilis,5.75,-10.25,7001:350:3,1
Polydactylus,quadrifilis,6.25,-10.25,7001:360:1,1
Polydactylus,quadrifilis,6.25,-10.75,7001:360:2,1
Polydactylus,quadrifilis,6.75,-10.75,7001:360:4,1
Polydactylus,quadrifilis,6.25,-11.25,7001:361:1,1
Polydactylus,quadrifilis,6.75,-11.25,7001:361:3,1
Polydactylus,quadrifilis,6.75,-11.75,7001:361:4,1
Polydactylus,quadrifilis,7.25,-11.75,7001:371:2,1
Polydactylus,quadrifilis,7.25,-12.25,7001:372:1,1
Polydactylus,quadrifilis,7.25,-12.75,7001:372:2,1
Polydactylus,quadrifilis,7.75,-12.75,7001:372:4,1
Polydactylus,quadrifilis,7.75,-13.25,7001:373:3,1
Polydactylus,quadrifilis,8.25,-12.75,7001:382:2,1
Polydactylus,quadrifilis,8.25,-13.25,7001:383:1,1
Polydactylus,quadrifilis,8.75,-13.25,7001:383:3,1
Polydactylus,quadrifilis,8.75,-13.75,7001:383:4,1
Polydactylus,quadrifilis,9.25,-13.25,7001:393:1,1
Polydactylus,quadrifilis,9.25,-13.75,7001:393:2,1
Polydactylus,quadrifilis,9.75,-13.25,7001:393:3,1
Polydactylus,quadrifilis,9.75,-13.75,7001:393:4,1
Polydactylus,quadrifilis,9.75,-14.25,7001:394:3,1
Polydactylus,quadrifilis,10.25,-14.25,7101:104:1,1
Polydactylus,quadrifilis,10.25,-14.75,7101:104:2,1
Polydactylus,quadrifilis,10.75,-14.75,7101:104:4,1
Polydactylus,quadrifilis,10.25,-15.25,7101:205:1,1
Polydactylus,quadrifilis,10.25,-15.75,7101:205:2,1
Polydactylus,quadrifilis,10.75,-15.25,7101:205:3,1
Polydactylus,quadrifilis,10.75,-15.75,7101:205:4,1
Polydactylus,quadrifilis,10.25,-16.25,7101:206:1,0.95
Polydactylus,quadrifilis,10.25,-16.75,7101:206:2,0.82
Polydactylus,quadrifilis,10.75,-16.25,7101:206:3,1
Polydactylus,quadrifilis,10.75,-16.75,7101:206:4,0.96
Polydactylus,quadrifilis,11.25,-15.25,7101:215:1,1
Polydactylus,quadrifilis,11.25,-15.75,7101:215:2,1
Polydactylus,quadrifilis,11.75,-15.25,7101:215:3,1
Polydactylus,quadrifilis,11.75,-15.75,7101:215:4,1
Polydactylus,quadrifilis,11.25,-16.25,7101:216:1,1
Polydactylus,quadrifilis,11.25,-16.75,7101:216:2,1
Polydactylus,quadrifilis,11.75,-16.25,7101:216:3,1
Polydactylus,quadrifilis,11.75,-16.75,7101:216:4,1
Polydactylus,quadrifilis,11.25,-17.25,7101:217:1,0.93
Polydactylus,quadrifilis,11.75,-17.25,7101:217:3,0.94
Polydactylus,quadrifilis,12.25,-16.25,7101:226:1,1
Polydactylus,quadrifilis,12.25,-16.75,7101:226:2,1
Polydactylus,quadrifilis,12.75,-16.75,7101:226:4,1
Polydactylus,quadrifilis,12.25,-17.25,7101:227:1,0.96
Polydactylus,quadrifilis,12.75,-17.25,7101:227:3,0.91
Polydactylus,quadrifilis,12.75,-17.75,7101:227:4,0.88
Polydactylus,quadrifilis,13.25,-16.75,7101:236:2,0.98
Polydactylus,quadrifilis,13.75,-16.75,7101:236:4,0.9
Polydactylus,quadrifilis,13.25,-17.25,7101:237:1,0.85
