Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Merluccius,capensis,-30.25,31.75,3303:101:2,0.16
Merluccius,capensis,-32.75,29.25,3302:229:3,0.11
Merluccius,capensis,-36.25,19.25,3301:469:1,0.12
Merluccius,capensis,-35.75,18.75,3301:458:4,0.18
Merluccius,capensis,-34.25,17.25,3301:247:1,0.19
Merluccius,capensis,-32.75,18.25,3301:228:3,0.17
Merluccius,capensis,-32.75,16.25,3301:226:3,0.18
Merluccius,capensis,-32.25,15.75,3301:225:2,0.01
Merluccius,capensis,-31.25,15.25,3301:215:1,0.01
Merluccius,capensis,-29.75,32.25,3203:392:3,0.11
Merluccius,capensis,-29.25,32.25,3203:392:1,0.17
Merluccius,capensis,-29.25,31.25,3203:391:1,0.02
Merluccius,capensis,-28.75,32.75,3203:382:4,0.14
Merluccius,capensis,-28.25,32.75,3203:382:2,0.12
Merluccius,capensis,-28.75,31.75,3203:381:4,0.03
Merluccius,capensis,-27.75,32.75,3203:372:4,0.11
Merluccius,capensis,-27.25,32.75,3203:372:2,0.11
Merluccius,capensis,-26.75,32.75,3203:362:4,0.15
Merluccius,capensis,-26.25,32.75,3203:362:2,0.18
Merluccius,capensis,-28.25,15.75,3201:485:2,0.07
Merluccius,capensis,-29.75,14.25,3201:394:3,0.19
Merluccius,capensis,-26.25,13.25,3201:363:1,0.06
Merluccius,capensis,-24.25,14.75,3201:144:2,0.03
Merluccius,capensis,-24.25,14.25,3201:144:1,0.14
Merluccius,capensis,-23.75,14.75,3201:134:4,0.06
Merluccius,capensis,-21.75,14.25,3201:114:3,0.16
Merluccius,capensis,-18.25,11.25,3101:381:1,0.18
Merluccius,capensis,-14.75,11.75,3101:141:4,0.04
Merluccius,capensis,-13.25,12.25,3101:132:1,0.1
Merluccius,capensis,-12.25,13.25,3101:123:1,0.14
Merluccius,capensis,-12.25,12.75,3101:122:2,0.03
Merluccius,capensis,-11.75,13.75,3101:113:4,0.17
Merluccius,capensis,-11.75,13.25,3101:113:3,0.07
Merluccius,capensis,-11.25,13.75,3101:113:2,0.18
Merluccius,capensis,-11.25,13.25,3101:113:1,0.06
Merluccius,capensis,-31.25,30.25,3303:110:1,0.29
Merluccius,capensis,-30.25,31.25,3303:101:1,0.25
Merluccius,capensis,-30.75,30.75,3303:100:4,0.26
Merluccius,capensis,-30.75,30.25,3303:100:3,0.36
Merluccius,capensis,-30.25,30.75,3303:100:2,0.34
Merluccius,capensis,-36.75,22.25,3302:362:3,0.32
Merluccius,capensis,-33.75,25.75,3302:235:4,0.32
Merluccius,capensis,-32.25,29.25,3302:229:1,0.34
Merluccius,capensis,-32.75,28.75,3302:228:4,0.37
Merluccius,capensis,-31.75,29.75,3302:219:4,0.32
Merluccius,capensis,-31.25,29.75,3302:219:2,0.39
Merluccius,capensis,-35.25,18.25,3301:458:1,0.21
Merluccius,capensis,-33.25,17.75,3301:237:2,0.28
Merluccius,capensis,-31.75,15.75,3301:215:4,0.26
Merluccius,capensis,-30.75,17.75,3301:207:4,0.35
Merluccius,capensis,-30.75,15.25,3301:205:3,0.32
Merluccius,capensis,-30.25,14.75,3301:104:2,0.27
Merluccius,capensis,-29.75,31.75,3203:391:4,0.21
Merluccius,capensis,-29.75,31.25,3203:391:3,0.36
Merluccius,capensis,-29.25,31.75,3203:391:2,0.35
Merluccius,capensis,-28.75,32.25,3203:382:3,0.21
Merluccius,capensis,-28.25,32.25,3203:382:1,0.22
Merluccius,capensis,-25.75,32.75,3203:352:4,0.2
Merluccius,capensis,-27.75,15.75,3201:475:4,0.39
Merluccius,capensis,-26.25,15.25,3201:465:1,0.28
Merluccius,capensis,-25.25,14.75,3201:354:2,0.37
Merluccius,capensis,-25.75,13.25,3201:353:3,0.32
Merluccius,capensis,-25.25,13.25,3201:353:1,0.31
Merluccius,capensis,-24.75,14.75,3201:144:4,0.35
Merluccius,capensis,-23.75,12.75,3201:132:4,0.29
Merluccius,capensis,-22.75,14.75,3201:124:4,0.23
Merluccius,capensis,-22.25,14.25,3201:124:1,0.27
Merluccius,capensis,-21.75,12.25,3201:112:3,0.38
Merluccius,capensis,-20.25,11.25,3201:101:1,0.34
Merluccius,capensis,-20.75,9.25,3200:209:3,0.27
Merluccius,capensis,-13.75,12.25,3101:132:3,0.38
Merluccius,capensis,-13.25,12.75,3101:132:2,0.31
Merluccius,capensis,-12.75,13.25,3101:123:3,0.28
Merluccius,capensis,-12.25,13.75,3101:123:2,0.23
Merluccius,capensis,-12.75,12.75,3101:122:4,0.2
Merluccius,capensis,-35.25,23.75,3302:353:2,0.56
Merluccius,capensis,-34.25,27.25,3302:247:1,0.48
Merluccius,capensis,-34.25,26.75,3302:246:2,0.52
Merluccius,capensis,-34.75,25.75,3302:245:4,0.51
Merluccius,capensis,-33.25,28.25,3302:238:1,0.41
Merluccius,capensis,-33.75,27.75,3302:237:4,0.43
Merluccius,capensis,-33.75,27.25,3302:237:3,0.56
Merluccius,capensis,-33.25,27.25,3302:237:1,0.45
Merluccius,capensis,-32.75,28.25,3302:228:3,0.54
Merluccius,capensis,-32.25,28.75,3302:228:2,0.48
Merluccius,capensis,-31.75,29.25,3302:219:3,0.41
Merluccius,capensis,-34.75,21.25,3302:141:3,0.53
Merluccius,capensis,-34.75,20.75,3302:140:4,0.55
Merluccius,capensis,-35.75,19.25,3301:459:3,0.54
Merluccius,capensis,-35.25,18.75,3301:458:2,0.55
Merluccius,capensis,-34.25,19.25,3301:249:1,0.47
Merluccius,capensis,-33.75,18.25,3301:238:3,0.41
Merluccius,capensis,-33.25,18.25,3301:238:1,0.58
