Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Brachydeuterus,auritus,3.75,6.75,1000:236:4,0.13
Brachydeuterus,auritus,-6.25,12.25,3001:362:1,0.04
Brachydeuterus,auritus,8.75,-14.75,7001:384:4,0.15
Brachydeuterus,auritus,18.75,-16.25,7101:486:3,0.19
Brachydeuterus,auritus,24.75,-14.75,7201:144:4,0.04
Brachydeuterus,auritus,20.25,-16.75,7201:206:2,0.18
Brachydeuterus,auritus,20.25,-17.25,7201:207:1,0.07
Brachydeuterus,auritus,20.75,-17.25,7201:207:3,0.04
Brachydeuterus,auritus,20.75,-17.75,7201:207:4,0.12
Brachydeuterus,auritus,21.25,-16.75,7201:216:2,0.11
Brachydeuterus,auritus,21.75,-16.75,7201:216:4,0.11
Brachydeuterus,auritus,21.25,-17.25,7201:217:1,0.02
Brachydeuterus,auritus,21.25,-17.75,7201:217:2,0.04
Brachydeuterus,auritus,21.75,-17.25,7201:217:3,0.01
Brachydeuterus,auritus,22.25,-16.25,7201:226:1,0.17
Brachydeuterus,auritus,22.25,-16.75,7201:226:2,0.07
Brachydeuterus,auritus,22.75,-16.25,7201:226:3,0.09
Brachydeuterus,auritus,22.75,-16.75,7201:226:4,0.03
Brachydeuterus,auritus,22.25,-17.25,7201:227:1,0.04
Brachydeuterus,auritus,22.75,-17.25,7201:227:3,0.08
Brachydeuterus,auritus,23.25,-15.75,7201:235:2,0.09
Brachydeuterus,auritus,23.75,-15.75,7201:235:4,0.01
Brachydeuterus,auritus,23.25,-16.25,7201:236:1,0.01
Brachydeuterus,auritus,23.25,-16.75,7201:236:2,0.03
Brachydeuterus,auritus,23.75,-16.25,7201:236:3,0.01
Brachydeuterus,auritus,23.75,-16.75,7201:236:4,0.06
Brachydeuterus,auritus,23.25,-17.25,7201:237:1,0.05
Brachydeuterus,auritus,24.25,-15.25,7201:245:1,0.02
Brachydeuterus,auritus,24.25,-16.25,7201:246:1,0.03
Brachydeuterus,auritus,24.25,-16.75,7201:246:2,0.14
Brachydeuterus,auritus,24.75,-16.25,7201:246:3,0.09
Brachydeuterus,auritus,26.25,-14.75,7201:364:2,0.08
Brachydeuterus,auritus,26.75,-14.25,7201:364:3,0.06
Brachydeuterus,auritus,27.25,-13.75,7201:373:2,0.03
