Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Merluccius,productus,49.75,-126.25,7412:496:3,0.01
Merluccius,productus,49.25,-125.25,7412:495:1,0.01
Merluccius,productus,49.75,-123.75,7412:393:4,0.11
Merluccius,productus,49.25,-122.75,7412:392:2,0.04
Merluccius,productus,48.75,-123.75,7412:383:4,0.08
Merluccius,productus,48.25,-123.75,7412:383:2,0.15
Merluccius,productus,48.25,-123.25,7412:383:1,0.14
Merluccius,productus,48.75,-122.25,7412:382:3,0.05
Merluccius,productus,48.25,-122.75,7412:382:2,0.09
Merluccius,productus,48.25,-122.25,7412:382:1,0.15
Merluccius,productus,47.75,-122.25,7412:372:3,0.17
Merluccius,productus,47.25,-122.25,7412:372:1,0.17
Merluccius,productus,46.25,-124.25,7412:364:1,0.14
Merluccius,productus,46.25,-123.75,7412:363:2,0.08
Merluccius,productus,38.25,-122.75,7312:382:2,0.18
Merluccius,productus,38.25,-122.25,7312:382:1,0.11
Merluccius,productus,37.75,-122.75,7312:372:4,0.12
Merluccius,productus,37.75,-122.25,7312:372:3,0.02
Merluccius,productus,34.25,-129.75,7312:249:2,0.01
Merluccius,productus,34.25,-129.25,7312:249:1,0.19
Merluccius,productus,33.75,-129.25,7312:239:3,0.01
Merluccius,productus,33.75,-128.75,7312:238:4,0.19
Merluccius,productus,33.25,-128.75,7312:238:2,0.01
Merluccius,productus,33.25,-128.25,7312:238:1,0.19
Merluccius,productus,32.75,-128.25,7312:228:3,0.12
Merluccius,productus,32.25,-127.75,7312:227:2,0.02
Merluccius,productus,32.25,-127.25,7312:227:1,0.15
Merluccius,productus,31.75,-126.75,7312:216:4,0.11
Merluccius,productus,31.25,-126.25,7312:216:1,0.09
Merluccius,productus,30.75,-125.25,7312:205:3,0.16
Merluccius,productus,34.75,-120.25,7312:140:3,0.17
Merluccius,productus,30.25,-123.75,7312:103:2,0.05
Merluccius,productus,34.25,-118.25,7311:248:1,0.13
Merluccius,productus,30.75,-115.75,7311:205:4,0.14
Merluccius,productus,31.75,-114.75,7311:114:4,0.01
Merluccius,productus,31.75,-114.25,7311:114:3,0.08
Merluccius,productus,31.25,-114.75,7311:114:2,0.06
Merluccius,productus,31.25,-114.25,7311:114:1,0.05
Merluccius,productus,31.75,-113.75,7311:113:4,0.19
Merluccius,productus,31.25,-113.75,7311:113:2,0.01
Merluccius,productus,31.25,-113.25,7311:113:1,0.01
